SourceFile	FileName	CreateDate	track_seg_point_id	time	coords.x1	coords.x2	ele	dist
../photo/technical/20190714_d01_0816__mg_4921.jpg	20190714_d01_0816__mg_4921.jpg	2019-07-14T08:16:19Z	0	2019-07-14T09:13:28Z	8.194934	46.133068	1230.71	3429
../photo/technical/20190714_d01_0816__mg_4922.jpg	20190714_d01_0816__mg_4922.jpg	2019-07-14T08:16:29Z	0	2019-07-14T09:13:28Z	8.194934	46.133068	1230.71	3419
../photo/technical/20190714_d01_1033__mg_4930.jpg	20190714_d01_1033__mg_4930.jpg	2019-07-14T10:33:31Z	4	2019-07-14T10:11:50Z	8.195008	46.13351	1225.03	1301
../photo/technical/20190714_d01_1055_img_7267.jpg	20190714_d01_1055_img_7267.jpg	2019-07-14T10:55:08Z	5	2019-07-14T10:56:53Z	8.195015	46.133484	1227.25	105
../photo/technical/20190714_d01_1114__mg_4938.jpg	20190714_d01_1114__mg_4938.jpg	2019-07-14T11:14:03Z	46	2019-07-14T11:14:00Z	8.192126	46.130945	1252.92	3
../photo/technical/20190714_d01_1330_img_7310.jpg	20190714_d01_1330_img_7310.jpg	2019-07-14T13:30:22Z	198	2019-07-14T13:29:23Z	8.163284	46.126416999999996	1756.31	59
../photo/technical/20190714_d01_1342__mg_4957.jpg	20190714_d01_1342__mg_4957.jpg	2019-07-14T13:42:12Z	204	2019-07-14T13:41:23Z	8.160224	46.125063	1836.21	49
../photo/technical/20190714_d01_1343__mg_4966.jpg	20190714_d01_1343__mg_4966.jpg	2019-07-14T13:43:51Z	205	2019-07-14T13:43:23Z	8.160243	46.125082	1837.14	28
../photo/technical/20190714_d01_1343_img_7330.jpg	20190714_d01_1343_img_7330.jpg	2019-07-14T13:43:51Z	205	2019-07-14T13:43:23Z	8.160243	46.125082	1837.14	28
../photo/technical/20190714_d01_1549__mg_4976.jpg	20190714_d01_1549__mg_4976.jpg	2019-07-14T15:49:11Z	236	2019-07-14T15:37:23Z	8.14623	46.127554	2029.73	708
../photo/technical/20190714_d01_1629__mg_4980.jpg	20190714_d01_1629__mg_4980.jpg	2019-07-14T16:29:49Z	238	2019-07-14T16:27:23Z	8.146262	46.127543	2026.13	146
../photo/technical/20190714_d01_1647_img_7359.jpg	20190714_d01_1647_img_7359.jpg	2019-07-14T16:47:00Z	244	2019-07-14T16:47:23Z	8.142313	46.126872	2128.65	23
../photo/technical/20190714_d01_1701_img_7361.jpg	20190714_d01_1701_img_7361.jpg	2019-07-14T17:01:31Z	247	2019-07-14T17:01:23Z	8.142043	46.126834	2141.84	8
../photo/technical/20190714_d01_1703_img_7366.jpg	20190714_d01_1703_img_7366.jpg	2019-07-14T17:03:10Z	247	2019-07-14T17:01:23Z	8.142043	46.126834	2141.84	107
../photo/technical/20190714_d01_1708__mg_5010.jpg	20190714_d01_1708__mg_5010.jpg	2019-07-14T17:08:52Z	250	2019-07-14T17:09:23Z	8.141346	46.127156	2176.03	31
../photo/technical/20190714_d01_1716__mg_5019.jpg	20190714_d01_1716__mg_5019.jpg	2019-07-14T17:16:42Z	254	2019-07-14T17:17:23Z	8.136981	46.128422	2206.11	41
../photo/technical/20190714_d01_1716__mg_5020.jpg	20190714_d01_1716__mg_5020.jpg	2019-07-14T17:16:45Z	254	2019-07-14T17:17:23Z	8.136981	46.128422	2206.11	38
../photo/technical/20190714_d01_1716__mg_5021.jpg	20190714_d01_1716__mg_5021.jpg	2019-07-14T17:16:46Z	254	2019-07-14T17:17:23Z	8.136981	46.128422	2206.11	37
../photo/technical/20190714_d01_1751__mg_5047.jpg	20190714_d01_1751__mg_5047.jpg	2019-07-14T17:51:46Z	262	2019-07-14T17:51:23Z	8.132157	46.12942	2248.4	23
../photo/technical/20190714_d01_2036__mg_5060.jpg	20190714_d01_2036__mg_5060.jpg	2019-07-14T20:36:02Z	271	2019-07-14T18:15:03Z	8.12991	46.130466	2290.07	8459
../photo/technical/20190715_d02_1114__mg_5094.jpg	20190715_d02_1114__mg_5094.jpg	2019-07-15T11:14:53Z	272	2019-07-15T11:36:28Z	8.12984	46.13046	2270.74	1295
../photo/technical/20190715_d02_1125__mg_5103.jpg	20190715_d02_1125__mg_5103.jpg	2019-07-15T11:25:45Z	272	2019-07-15T11:36:28Z	8.12984	46.13046	2270.74	643
../photo/technical/20190715_d02_1200__mg_5112.jpg	20190715_d02_1200__mg_5112.jpg	2019-07-15T12:00:14Z	276	2019-07-15T12:00:28Z	8.129865	46.129063	2280.73	14
../photo/technical/20190715_d02_1200__mg_5117.jpg	20190715_d02_1200__mg_5117.jpg	2019-07-15T12:00:33Z	276	2019-07-15T12:00:28Z	8.129865	46.129063	2280.73	5
../photo/technical/20190715_d02_1200__mg_5118.jpg	20190715_d02_1200__mg_5118.jpg	2019-07-15T12:00:35Z	276	2019-07-15T12:00:28Z	8.129865	46.129063	2280.73	7
../photo/technical/20190715_d02_1212_img_7450.jpg	20190715_d02_1212_img_7450.jpg	2019-07-15T12:12:43Z	282	2019-07-15T12:12:28Z	8.125221	46.126454	2329.47	15
../photo/technical/20190715_d02_1215_img_7460.jpg	20190715_d02_1215_img_7460.jpg	2019-07-15T12:15:58Z	284	2019-07-15T12:16:28Z	8.124614	46.126009	2352.43	30
../photo/technical/20190715_d02_1219__mg_5127.jpg	20190715_d02_1219__mg_5127.jpg	2019-07-15T12:19:21Z	285	2019-07-15T12:18:28Z	8.124639	46.126006	2352.5	53
../photo/technical/20190715_d02_1219__mg_5128.jpg	20190715_d02_1219__mg_5128.jpg	2019-07-15T12:19:24Z	285	2019-07-15T12:18:28Z	8.124639	46.126006	2352.5	56
../photo/technical/20190715_d02_1219__mg_5132.jpg	20190715_d02_1219__mg_5132.jpg	2019-07-15T12:19:39Z	285	2019-07-15T12:18:28Z	8.124639	46.126006	2352.5	71
../photo/technical/20190715_d02_1316_img_7481_1.jpg	20190715_d02_1316_img_7481_1.jpg	2019-07-15T13:16:02Z	309	2019-07-15T13:14:28Z	8.114969	46.123353	2351.98	94
../photo/technical/20190715_d02_1318__mg_5145.jpg	20190715_d02_1318__mg_5145.jpg	2019-07-15T13:18:44Z	310	2019-07-15T13:18:28Z	8.114887	46.122856	2374.16	16
../photo/technical/20190715_d02_1319__mg_5157.jpg	20190715_d02_1319__mg_5157.jpg	2019-07-15T13:19:55Z	311	2019-07-15T13:20:28Z	8.114893	46.122853	2375.25	33
../photo/technical/20190715_d02_1320__mg_5159.jpg	20190715_d02_1320__mg_5159.jpg	2019-07-15T13:20:00Z	311	2019-07-15T13:20:28Z	8.114893	46.122853	2375.25	28
../photo/technical/20190715_d02_1335_img_7499.jpg	20190715_d02_1335_img_7499.jpg	2019-07-15T13:35:16Z	315	2019-07-15T13:34:28Z	8.1149	46.122848	2380.5	48
../photo/technical/20190715_d02_1344__mg_5167.jpg	20190715_d02_1344__mg_5167.jpg	2019-07-15T13:44:04Z	319	2019-07-15T13:44:28Z	8.111805	46.123391	2266.26	24
../photo/technical/20190715_d02_1407__mg_5194.jpg	20190715_d02_1407__mg_5194.jpg	2019-07-15T14:07:44Z	326	2019-07-15T14:08:28Z	8.108326	46.122159	2254.8	44
../photo/technical/20190715_d02_1556_img_7545.jpg	20190715_d02_1556_img_7545.jpg	2019-07-15T15:56:13Z	329	2019-07-15T15:56:10Z	8.108192	46.12206	2251.21	3
../photo/technical/20190715_d02_1602_img_7546.jpg	20190715_d02_1602_img_7546.jpg	2019-07-15T16:02:29Z	331	2019-07-15T16:04:10Z	8.103122	46.121135	2201.25	101
../photo/technical/20190715_d02_1606_img_7562_1.jpg	20190715_d02_1606_img_7562_1.jpg	2019-07-15T16:06:59Z	332	2019-07-15T16:06:10Z	8.102093	46.120767	2210.31	49
../photo/technical/20190715_d02_1610__mg_5212.jpg	20190715_d02_1610__mg_5212.jpg	2019-07-15T16:10:25Z	334	2019-07-15T16:10:10Z	8.098825	46.120105	2205.21	15
../photo/technical/20190715_d02_1610__mg_5216.jpg	20190715_d02_1610__mg_5216.jpg	2019-07-15T16:10:54Z	334	2019-07-15T16:10:10Z	8.098825	46.120105	2205.21	44
../photo/technical/20190715_d02_1618_img_7591.jpg	20190715_d02_1618_img_7591.jpg	2019-07-15T16:18:48Z	338	2019-07-15T16:18:10Z	8.097423	46.119919	2192.66	38
../photo/technical/20190715_d02_1744_img_7619.jpg	20190715_d02_1744_img_7619.jpg	2019-07-15T17:44:17Z	366	2019-07-15T17:44:10Z	8.084705	46.120079	1821.12	7
../photo/technical/20190715_d02_1757_img_7630.jpg	20190715_d02_1757_img_7630.jpg	2019-07-15T17:57:36Z	372	2019-07-15T17:58:10Z	8.084135	46.119865	1826	34
../photo/technical/20190715_d02_1841_img_7660.jpg	20190715_d02_1841_img_7660.jpg	2019-07-15T18:41:32Z	393	2019-07-15T18:42:10Z	8.0778199999999991	46.114644	1975.59	38
../photo/technical/20190715_d02_1917_img_7665.jpg	20190715_d02_1917_img_7665.jpg	2019-07-15T19:17:37Z	409	2019-07-15T19:18:10Z	8.072663	46.115532	2112.27	33
../photo/technical/20190715_d02_2013_img_7699.jpg	20190715_d02_2013_img_7699.jpg	2019-07-15T20:13:34Z	420	2019-07-15T19:38:41Z	8.075322	46.116775	2177.24	2093
../photo/technical/20190716_d03_0701__mg_5242.jpg	20190716_d03_0701__mg_5242.jpg	2019-07-16T07:01:42Z	421	2019-07-16T07:41:58Z	8.075355	46.116745	2184.69	2416
../photo/technical/20190716_d03_0701__mg_5244.jpg	20190716_d03_0701__mg_5244.jpg	2019-07-16T07:01:56Z	421	2019-07-16T07:41:58Z	8.075355	46.116745	2184.69	2402
../photo/technical/20190716_d03_0702__mg_5249.jpg	20190716_d03_0702__mg_5249.jpg	2019-07-16T07:02:38Z	421	2019-07-16T07:41:58Z	8.075355	46.116745	2184.69	2360
../photo/technical/20190716_d03_0710__mg_5256.jpg	20190716_d03_0710__mg_5256.jpg	2019-07-16T07:10:20Z	421	2019-07-16T07:41:58Z	8.075355	46.116745	2184.69	1898
../photo/technical/20190716_d03_0757__mg_5276.jpg	20190716_d03_0757__mg_5276.jpg	2019-07-16T07:57:15Z	429	2019-07-16T07:56:44Z	8.072735	46.117562	2275.78	31
../photo/technical/20190716_d03_0832__mg_5292.jpg	20190716_d03_0832__mg_5292.jpg	2019-07-16T08:32:02Z	439	2019-07-16T08:34:44Z	8.068667	46.118773	2443.07	162
../photo/technical/20190716_d03_0855__mg_5296.jpg	20190716_d03_0855__mg_5296.jpg	2019-07-16T08:55:38Z	449	2019-07-16T08:54:44Z	8.066264	46.118601	2475.63	54
../photo/technical/20190716_d03_0923__mg_5299.jpg	20190716_d03_0923__mg_5299.jpg	2019-07-16T09:23:31Z	458	2019-07-16T09:20:44Z	8.063147	46.118256	2488.5	167
